Country,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,Deaths_100_Cases,Recovered_100_Cases,Deaths_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,WHO_Region
Greece,4227.0,,1374.0,,34.0,0.0,4.78,32.51,,4012.0,215.0,5.36,Europe
Greenland,14.0,0.0,13.0,1.0,1.0,0.0,0.0,92.86,0.0,13.0,1.0,7.69,Europe
Grenada,23.0,0.0,23.0,0.0,0.0,0.0,0.0,100.0,0.0,23.0,,0.0,Americas
Guatemala,45309.0,1761.0,32455.0,11093.0,256.0,27.0,3.89,71.63,5.4259744261284855,39039.0,6270.0,,Americas
Guinea,7055.0,45.0,6257.0,753.0,47.0,2.0,0.64,88.69,0.7191945021575835,6590.0,465.0,7.06,Africa
India,1954.0,26.0,803.0,1125.0,0.0,0.0,1.33,41.1,3.23785803237858,,5.0,0.26,Africa
Guyana,389.0,20.0,181.0,188.0,19.0,0.0,5.14,46.53,11.049723756906078,337.0,52.0,15.43,Americas
Haiti,7340.0,158.0,4365.0,2817.0,25.0,1.0,2.15,59.47,3.619702176403208,7053.0,287.0,4.07,Americas
Holy See,12.0,0.0,12.0,0.0,0.0,0.0,0.0,100.0,0.0,12.0,0.0,0.0,Europe
Honduras,39741.0,1166.0,5039.0,33536.0,465.0,50.0,2.93,12.68,23.13951180789839,34611.0,,14.82,Americas
Hungary,4448.0,596.0,3329.0,523.0,13.0,0.0,13.4,74.84,17.903274256533493,4339.0,109.0,2.51,Europe
Iceland,1854.0,10.0,1823.0,21.0,7.0,0.0,0.54,98.33,0.5485463521667581,1839.0,15.0,0.82,Europe
India,0.0,,0.0,,44457.0,,2.26,,,1155338.0,324735.0,28.11,
Indonesia,0.0,4838.0,0.0,-4838.0,1525.0,57.0,4.82,,0.0,88214.0,12089.0,13.7,
Iran,293606.0,15912.0,255144.0,22550.0,2434.0,212.0,5.42,86.9,6.236478224061706,276202.0,,6.3,Eastern Mediterranean
Iraq,112585.0,4458.0,77144.0,30983.0,2553.0,96.0,3.96,68.52,5.778803276988489,94693.0,17892.0,18.89,Eastern Mediterranean
Ireland,25892.0,1764.0,23364.0,764.0,11.0,0.0,6.81,90.24,7.550077041602465,25766.0,126.0,0.49,Europe
Israel,63985.0,474.0,27133.0,36378.0,2029.0,4.0,0.74,42.41,1.7469502082335164,52003.0,11982.0,23.04,Europe
Italy,246286.0,35112.0,198593.0,12581.0,168.0,5.0,14.26,80.64,17.6803814837381,244624.0,1662.0,0.68,Europe
Jamaica,853.0,10.0,714.0,129.0,11.0,0.0,1.17,83.7,1.400560224089636,809.0,44.0,5.44,Americas
Japan,31142.0,998.0,21970.0,8174.0,594.0,0.0,3.2,70.55,4.542558033682294,,5436.0,21.15,Western Pacific
Jordan,1176.0,11.0,1041.0,124.0,,0.0,0.94,88.52,1.0566762728146013,1223.0,-47.0,-3.84,Eastern Mediterranean
Kazakhstan,84648.0,585.0,54404.0,29659.0,1526.0,0.0,0.69,64.27,1.0752885817219322,73468.0,11180.0,15.22,Europe
Kenya,17975.0,285.0,7833.0,9857.0,372.0,5.0,1.59,43.58,3.6384527001148985,13771.0,4204.0,,Africa
Kosovo,7413.0,185.0,4027.0,3201.0,496.0,16.0,2.5,54.32,4.593990563695058,,1536.0,26.14,Europe
Kuwait,64379.0,,55057.0,,606.0,5.0,0.68,85.52,,59763.0,4616.0,7.72,Eastern Mediterranean
Kyrgyzstan,33296.0,1301.0,21205.0,10790.0,483.0,24.0,3.91,63.69,6.135345437396841,27143.0,6153.0,22.67,Europe
Laos,20.0,0.0,19.0,1.0,0.0,0.0,0.0,95.0,0.0,19.0,1.0,,Western Pacific
,1219.0,31.0,1045.0,143.0,0.0,0.0,2.54,85.73,2.9665071770334928,1192.0,27.0,2.27,Europe
Lebanon,3882.0,51.0,1709.0,2122.0,132.0,0.0,1.31,44.02,2.984201287302516,2905.0,977.0,33.63,Eastern Mediterranean
